route_id,route_short_name,route_long_name,direction,headway_minutes,total_trips,trip_id,trip_start_time,stop_order,stop_name,arrival_time,departure_time
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,2,NPA Stop,18:04:40,18:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,3,Islamic University,18:07:20,18:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,4,FAST University,18:10:20,18:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,5,PAEC General Hospital,18:13:00,18:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,6,IMC Hospital,18:15:05,18:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,7,Metro CNC,18:17:45,18:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,8,Sabzi Mandi,18:19:25,18:19:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,9,Mandi Morh,18:22:15,18:22:35
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,10,Kurang Road Stop,18:24:00,18:24:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,11,IESCO,18:26:00,18:26:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,12,PTCL I-10,18:27:50,18:28:10
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,13,Sui Gas Stop,18:29:35,18:29:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,14,OGTI Stop,18:35:25,18:35:45
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,15,CDA Complain Center,18:39:35,18:39:55
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176076-0,18:00:00,16,MCI Model School,18:45:00,18:45:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,1,Nust Metro Station,19:00:00,19:00:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,2,NPA Stop,19:04:40,19:05:00
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,3,Islamic University,19:07:20,19:07:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,4,FAST University,19:10:20,19:10:40
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,5,PAEC General Hospital,19:13:00,19:13:20
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,6,IMC Hospital,19:15:05,19:15:25
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,7,Metro CNC,19:17:45,19:18:05
FR-01,FR-01,Khana Pul to NUST,Forward,60,17,176077-0,19:00:00,8,Sabzi Mandi,19:19:25,19:19:45
